,Mes,Casos,Codigo,Descricao
38,2017-03-31,584,6,15-19
39,2017-04-30,417,6,15-19
40,2017-05-31,366,6,15-19
41,2017-06-30,181,6,15-19
42,2017-07-31,62,6,15-19
43,2017-08-31,60,6,15-19
44,2017-09-30,61,6,15-19
45,2017-10-31,74,6,15-19
46,2017-11-30,73,6,15-19
47,2017-12-31,124,6,15-19
48,2018-01-31,215,6,15-19
49,2018-02-28,216,6,15-19
50,2018-03-31,488,6,15-19
51,2018-04-30,765,6,15-19
52,2018-05-31,421,6,15-19
53,2018-06-30,129,6,15-19
54,2018-07-31,98,6,15-19
55,2018-08-31,47,6,15-19
56,2018-09-30,66,6,15-19
57,2018-10-31,73,6,15-19
58,2018-11-30,170,6,15-19
59,2018-12-31,270,6,15-19
60,2019-01-31,1421,6,15-19
61,2019-02-28,3141,6,15-19
62,2019-03-31,7602,6,15-19
63,2019-04-30,14010,6,15-19
64,2019-05-31,14819,6,15-19
65,2019-06-30,3991,6,15-19
66,2019-07-31,598,6,15-19
67,2019-08-31,174,6,15-19
68,2019-09-30,142,6,15-19
69,2019-10-31,126,6,15-19
70,2019-11-30,156,6,15-19
71,2019-12-31,247,6,15-19
72,2020-01-31,737,6,15-19
73,2020-02-29,1291,6,15-19
74,2020-03-31,1529,6,15-19
75,2020-04-30,1468,6,15-19
76,2020-05-31,979,6,15-19
77,2020-06-30,353,6,15-19
78,2020-07-31,165,6,15-19
79,2020-08-31,66,6,15-19
80,2020-09-30,79,6,15-19
81,2020-10-31,80,6,15-19
82,2020-11-30,131,6,15-19
83,2020-12-31,155,6,15-19
84,2021-01-31,166,6,15-19
85,2021-02-28,216,6,15-19
86,2021-03-31,315,6,15-19
87,2021-04-30,294,6,15-19
88,2021-05-31,201,6,15-19
89,2021-06-30,136,6,15-19
90,2021-07-31,51,6,15-19
91,2021-08-31,53,6,15-19
92,2021-09-30,53,6,15-19
93,2021-10-31,49,6,15-19
94,2021-11-30,120,6,15-19
95,2021-12-31,214,6,15-19
96,2022-01-31,841,6,15-19
97,2022-02-28,3673,6,15-19
98,2022-03-31,8900,6,15-19
99,2022-04-30,12304,6,15-19
100,2022-05-31,13348,6,15-19
101,2022-06-30,9350,6,15-19
102,2022-07-31,2294,6,15-19
103,2022-08-31,412,6,15-19
104,2022-09-30,177,6,15-19
105,2022-10-31,156,6,15-19
106,2022-11-30,144,6,15-19
107,2022-12-31,188,6,15-19
0,2014-01-31,2021,7,20-39
1,2014-02-28,3399,7,20-39
2,2014-03-31,4454,7,20-39
3,2014-04-30,5970,7,20-39
4,2014-05-31,4020,7,20-39
5,2014-06-30,1508,7,20-39
6,2014-07-31,519,7,20-39
7,2014-08-31,240,7,20-39
8,2014-09-30,259,7,20-39
9,2014-10-31,279,7,20-39
10,2014-11-30,354,7,20-39
11,2014-12-31,469,7,20-39
12,2015-01-31,1889,7,20-39
13,2015-02-28,3643,7,20-39
14,2015-03-31,10943,7,20-39
15,2015-04-30,23409,7,20-39
16,2015-05-31,21161,7,20-39
17,2015-06-30,5995,7,20-39
18,2015-07-31,1454,7,20-39
19,2015-08-31,540,7,20-39
20,2015-09-30,434,7,20-39
21,2015-10-31,531,7,20-39
22,2015-11-30,1477,7,20-39
23,2015-12-31,5001,7,20-39
24,2016-01-31,23987,7,20-39
25,2016-02-29,52705,7,20-39
26,2016-03-31,61534,7,20-39
27,2016-04-30,47675,7,20-39
28,2016-05-31,14690,7,20-39
29,2016-06-30,2021,7,20-39
30,2016-07-31,414,7,20-39
31,2016-08-31,258,7,20-39
32,2016-09-30,220,7,20-39
33,2016-10-31,288,7,20-39
34,2016-11-30,438,7,20-39
35,2016-12-31,1541,7,20-39
36,2017-01-31,1803,7,20-39
37,2017-02-28,1621,7,20-39
38,2017-03-31,1998,7,20-39
39,2017-04-30,1452,7,20-39
40,2017-05-31,1088,7,20-39
41,2017-06-30,589,7,20-39
42,2017-07-31,238,7,20-39
43,2017-08-31,184,7,20-39
44,2017-09-30,179,7,20-39
45,2017-10-31,265,7,20-39
46,2017-11-30,314,7,20-39
47,2017-12-31,528,7,20-39
48,2018-01-31,898,7,20-39
49,2018-02-28,985,7,20-39
50,2018-03-31,1755,7,20-39
51,2018-04-30,2868,7,20-39
52,2018-05-31,1716,7,20-39
53,2018-06-30,674,7,20-39
54,2018-07-31,312,7,20-39
55,2018-08-31,205,7,20-39
56,2018-09-30,245,7,20-39
57,2018-10-31,323,7,20-39
58,2018-11-30,557,7,20-39
59,2018-12-31,1163,7,20-39
60,2019-01-31,6549,7,20-39
61,2019-02-28,12505,7,20-39
62,2019-03-31,29763,7,20-39
63,2019-04-30,55918,7,20-39
64,2019-05-31,58089,7,20-39
