ANO;MES;MACRORREGIAO;PRECIPITACAO;PRESSAO_ATM;TEMPERATURA;UMIDADE_RELATIVA
2016;11;3105;0.2752087994034303;927.1181291946308;23.155169338801887;75.0
2016;11;3106;0.3497222222222222;985.4846527777776;24.47895833333333;74.0
2016;11;3107;0.2854004148420175;947.2411152613528;23.737689966919504;72.0
2016;11;3108;0.248402506419601;948.5520433848408;25.8388422535067;65.0
2016;11;3109;0.3411159560723514;920.0525040374677;23.571931524547804;71.0
2016;11;3110;0.3118055555555555;928.2908333333332;21.10993055555556;78.0
2016;11;3111;0.2371140282131661;967.9018174198884;23.98354797979798;76.0
2016;11;3112;0.2955555555555555;919.3931481481482;22.65597222222222;73.0
2016;11;3113;0.3431944444444444;929.6707638888888;23.55951388888889;74.0
2016;11;3114;0.4211111111111111;951.5947916666668;23.568402777777777;73.0
2016;12;3101;0.2056250885016209;909.219939994866;22.076773212267256;76.0
2016;12;3102;0.1537074070853742;897.779734853974;21.33594107758746;75.0
2016;12;3103;0.3579562314321993;912.9665851618374;22.490309727629413;75.0
2016;12;3104;0.2522849462365591;888.5321236559139;20.71599462365592;78.0
2016;12;3105;0.2653815892997639;927.2869998834398;23.29582386280852;75.0
2016;12;3106;0.2011424731182795;985.131686827957;25.3911626344086;75.0
2016;12;3107;0.3071254771687502;947.1390171052248;24.266450665850744;73.0
2016;12;3108;0.1854831513030851;949.0104962089648;25.329692362613116;68.0
2016;12;3109;0.2087815741993685;920.5689773942556;23.791129123197575;70.0
2016;12;3110;0.3939516129032258;928.334005376344;21.99462365591398;79.0
2016;12;3111;0.2028897849462365;967.704065860215;24.47211021505376;77.0
2016;12;3112;0.3590501792114695;919.8311379928316;23.475;73.0
2016;12;3113;0.3611356646476029;930.0332656888296;24.142763798891863;76.0
2016;12;3114;0.2987903225806452;951.528494623656;24.41518817204301;75.0
2017;1;3101;0.3186330579121889;909.9436491678732;22.162832445590237;80.0
2017;1;3102;0.1894627520312243;898.3106267329412;22.305619680414264;72.0
2017;1;3103;0.1540935363798592;913.3603917464734;23.73486632632359;67.0
2017;1;3104;0.151747311827957;889.0317204301075;21.48608870967742;70.0
2017;1;3105;0.1449236718761336;927.6482403537792;24.28550926530553;72.0
2017;1;3106;0.0579301075268817;985.873689516129;26.570766129032258;66.0
2017;1;3107;0.1135720837792386;947.2225358422938;26.15102006149247;64.0
2017;1;3108;0.0634624792364552;948.8683385043236;27.262078229584745;55.0
2017;1;3109;0.1390015862947108;920.6085034931608;24.883300183751995;63.0
2017;1;3110;0.0916666666666666;928.9405913978494;22.874260752688173;74.0
2017;1;3111;0.0172787398336836;968.1102423733588;26.475668806542995;61.0
2017;1;3112;0.300179211469534;920.4622311827956;23.277374551971324;76.0
2017;1;3113;0.2622759856630824;939.1087365591396;24.59435483870968;74.0
2017;1;3114;0.1353494623655914;952.1961693548388;25.422782258064515;67.0
2017;2;3101;0.1864710583234561;909.9483968984384;22.31641956957283;75.0
2017;2;3102;0.2559523809523809;898.708134920635;21.42157738095238;75.0
2017;2;3103;0.2038745200238755;924.6642573518396;22.887732394073;74.0
2017;2;3104;0.3267857142857142;889.1128720238095;20.16153273809524;81.0
2017;2;3105;0.219067938420348;927.9691229202524;23.540090122394343;74.0
2017;2;3106;0.1729166666666666;986.1245907738096;25.349330357142858;75.0
2017;2;3107;0.0925314918042797;947.9759833283172;24.51737386921742;73.0
2017;2;3108;0.1918668662111058;949.35223635264;25.381488806375067;69.0
2017;2;3109;0.3025921977414514;920.9695476396128;23.11191880626629;75.0
2017;2;3110;0.1793154761904762;929.3045386904762;22.22693452380953;79.0
2017;2;3111;0.1712566458622283;968.096989496648;25.693083607836336;70.0
2017;2;3112;0.2598214285714286;920.3237103174604;23.823462301587305;70.0
2017;2;3113;0.2170673076923077;930.7103021978022;24.44883527930403;73.0
2017;2;3114;0.2434523809523809;952.5581101190476;24.369717261904764;75.0
2017;3;3101;0.2034320936458742;910.2560418983646;21.47119526271556;76.0
2017;3;3102;0.1577956989247312;898.7721326164874;20.77280465949821;75.0
2017;3;3103;0.1763593340562031;924.5006572185324;23.112579487440136;70.0
2017;3;3104;0.1106182795698924;889.0021505376344;20.500672043010752;77.0
2017;3;3105;0.0780465949820788;928.051164874552;23.32768817204301;72.0
2017;3;3106;0.0608192986496375;985.6031924009312;26.08119748791432;68.0
2017;3;3107;0.1465939892175259;947.7740028235448;24.398152848328213;70.0
2017;3;3108;0.1219749885430989;949.0642184143734;25.94305564886075;63.0
2017;3;3109;0.1820959440586759;924.344833020812;24.25691380270136;67.0
2017;3;3110;0.1052419354838709;929.1350806451612;21.69079301075269;77.0
2017;3;3111;0.0735279079158903;967.8070213175174;25.783582778382677;66.0
2017;3;3112;0.1109146840515903;920.63980604239;23.76621687410041;69.0
2017;3;3113;0.2061733507701249;930.791182069166;24.336018235977917;73.0
2017;3;3114;0.1602150537634408;952.2133064516128;24.29388440860215;72.0
2017;4;3101;0.0876669369278065;911.373490302202;20.25602986930476;77.0
2017;4;3102;0.0603172255095332;899.8724257615604;19.628216359850978;77.0
2017;4;3103;0.07363774626944;925.5477591566996;22.372574202565584;71.0
2017;4;3104;0.0338888888888888;890.1315277777778;19.626736111111114;78.0
2017;4;3105;0.0827069489517333;929.2228504739091;22.563358831710712;71.0
2017;4;3106;0.067111989767271;987.4185385062868;24.710690888919014;70.0
2017;4;3107;0.1275464576074332;949.4298980513614;23.14446089818041;73.0
2017;4;3108;0.018039392688882;950.303997128512;25.20003421713264;63.0
2017;4;3109;0.0054633493020141;925.3352412043477;24.0689058234173;65.0
2017;4;3110;0.1368055555555555;930.5640277777776;20.28138888888889;80.0
2017;4;3111;0.0873733233979135;971.7192791300988;24.044499020257216;76.0
2017;4;3112;0.0633888888888888;921.7065555555556;22.80427777777778;70.0
2017;4;3113;0.1026851851851851;925.6613888888888;23.06523148148148;73.0
2017;4;3114;0.1420104895104895;953.7782381507382;23.13128982128982;75.0
2017;5;3101;0.1166899331728055;912.1985912764782;18.0658468029764;80.0
2017;5;3102;0.0810483870967742;895.1448924731183;17.113575268817204;79.0
2017;5;3103;0.0928934356447327;926.5093517982186;20.485435664631684;75.0
2017;5;3104;0.038743890518084;921.5933960573476;19.68754806125774;75.0
2017;5;3105;0.1417933094065862;930.3963224881962;19.971989493858526;77.0
